-50;-174;1868
-49;-196;945
-48;-166;1207
-47;-214;1294
-46;-148;1266
-45;-168;1147
-44;-165;1274
-43;-201;842
-42;-175;839
-41;-136;1171
-40;-172;1148
-39;-148;1071
-38;-168;865
-37;-135;895
-36;-170;814
-35;-208;671
-34;-124;932
-33;-116;603
-32;-106;620
-31;-153;755
-30;-95;551
-29;-102;566
-28;-110;628
-27;-142;863
-26;-90;444
-25;-75;354
-24;-84;308
-23;-132;835
-22;-80;663
-21;-113;339
-20;-79;205
-19;-113;344
-18;-68;283
-17;-77;340
-16;-70;610
-15;-99;-17
-14;-29;376
-13;-37;150
-12;-73;297
-11;-75;108
-10;-73;193
-9;-49;-227
-8;-61;211
-7;-10;217
-6;-66;-209
-5;-37;-135
-4;-54;-109
-3;-4;203
-2;7;536
-1;45;9
0;0;165
1;-39;300
2;12;-128
3;7;-30
4;-20;10
5;38;404
6;10;42
7;26;-20
8;14;27
9;2;-102
10;15;-306
11;1;98
12;-3;298
13;42;-5
14;50;-144
15;93;110
16;52;498
17;17;137
18;59;-88
19;92;-106
20;75;404
21;42;203
22;96;36
23;62;365
24;94;169
25;108;25
26;98;480
27;135;288
28;110;298
29;103;165
30;90;182
31;146;51
32;72;-383
33;133;139
34;116;742
35;158;576
36;138;92
37;124;773
38;123;475
39;162;725
40;192;1005
41;117;322
42;194;739
43;215;569
44;159;968
45;183;881
46;166;1128
47;231;980
48;204;653
49;240;1212
